,suburb,sa2
0,South Yarra,South Yarra - North
1,Melbourne,Melbourne CBD - East
2,Clayton,Clayton (North) - Notting Hill
3,Ferntree Gully,Ferntree Gully (South) - Upper Ferntree Gully
4,Newcomb,Newcomb - Moolap
5,Queenscliff,Point Lonsdale - Queenscliff
6,Dandenong,Dandenong - North
7,Viewbank,Viewbank - Yallambie
8,Officer,Beaconsfield - Officer
9,Grovedale,Grovedale - Mount Duneed
10,Clyde,Clyde North - South
11,Mount Waverley,Mount Waverley - South
12,Melton South,Melton South - Weir Views
13,Keysborough,Keysborough - North
14,Shepparton,Shepparton - North
15,Narre Warren,Narre Warren - South West
16,South Morang,South Morang - North
17,Tarneit,Tarneit - South
18,Leneva,Baranduda - Leneva
19,Clyde North,Clyde North - South
20,Wendouree,Wendouree - Miners Rest
21,Rockbank,Rockbank - Mount Cottrell
22,Patterson Lakes,Carrum - Patterson Lakes
23,Lynbrook,Lynbrook - Lyndhurst
25,Mill Park,Mill Park - North
26,West Footscray,West Footscray - Tottenham
27,Lalor,Lalor - East
29,Endeavour Hills,Endeavour Hills - North
31,Doncaster East,Doncaster East - South
32,Weir Views,Melton South - Weir Views
33,Kangaroo Flat,Kangaroo Flat - Golden Square
35,South Yarra,South Yarra - South
36,Waterways,Aspendale Gardens - Waterways
37,Yallourn North,Yallourn North - Glengarry
38,Berwick,Berwick - South West
39,Manor Lakes,Manor Lakes - Quandong
40,Mildura,Mildura - South
41,Epping,Epping (Vic.) - West
42,Pakenham,Pakenham - North East
43,Yallambie,Viewbank - Yallambie
44,Mount Waverley,Mount Waverley - North
45,Albion,Ardeer - Albion
47,Lyndhurst,Lynbrook - Lyndhurst
49,Werribee,Werribee - East
50,Glen Iris,Glen Iris - East
51,Canadian,Canadian - Mount Clear
52,Doncaster,Doncaster East - South
53,Heidelberg,Heidelberg - Rosanna
54,Rowville,Rowville - South
55,South Yarra,South Yarra - West
56,Point Cook,Point Cook - East
58,Shepparton,Shepparton - South East
59,Reservoir,Reservoir - South West
62,Canterbury,Surrey Hills (West) - Canterbury
63,Alphington,Alphington - Fairfield
65,Doreen,Doreen - South
67,Prahran,Prahran - Windsor
68,Clayton,Clayton - Central
69,Southbank,Southbank - East
70,Traralgon,Traralgon - West
72,West Melbourne,West Melbourne - Residential
73,Bentleigh East,Bentleigh East - North
75,Bentleigh,Bentleigh - McKinnon
77,St Kilda,St Kilda - Central
78,Caulfield,Caulfield - South
80,East Geelong,Geelong
83,Essendon,Essendon - East
85,Newtown,Newtown (Vic.)
86,Highett,Highett (West) - Cheltenham
87,Seaford,Seaford (Vic.)
88,Glenroy,Glenroy - East
89,Point Cook,Point Cook - North East
90,Truganina,Truganina - South West
94,Dandenong,Dandenong North
95,Northcote,Northcote - East
99,Glen Huntly,Ormond - Glen Huntly
100,Malvern,Malvern - Glen Iris
101,Rosanna,Heidelberg - Rosanna
102,Essendon,Essendon (West) - Aberfeldie
103,Noble Park,Noble Park - East
105,Glen Iris,Malvern - Glen Iris
107,Hoppers Crossing,Hoppers Crossing - North
108,Hoppers Crossing,Hoppers Crossing - South
109,Maryborough,Maryborough (Vic.)
113,Flora Hill,Flora Hill - Spring Gully
114,Campbellfield,Campbellfield - Coolaroo
116,East Bairnsdale,Bairnsdale
117,Hamlyn Heights,Geelong West - Hamlyn Heights
118,Glen Waverley,Glen Waverley - West
124,Eaglemont,Ivanhoe East - Eaglemont
125,St Albans,St Albans - South
126,Mildura,Mildura - North
128,Kingsville,Seddon - Kingsville
130,Bell Park,North Geelong - Bell Park
131,Kilmore,Kilmore - Broadford
133,Richmond,Richmond - North
134,St Kilda,St Kilda - West
136,Chadstone,Ashwood - Chadstone
138,Noble Park,Noble Park - West
139,Niddrie,Niddrie - Essendon West
144,North Bendigo,Bendigo
145,Oakleigh,Oakleigh - Huntingdale
147,Warranwood,Croydon Hills - Warranwood
149,Sebastopol,Sebastopol - Redan
151,Cheltenham,Highett (East) - Cheltenham
152,Reservoir,Reservoir - North East
154,Fairfield,Alphington - Fairfield
156,Glenroy,Glenroy - West
158,Ferntree Gully,Ferntree Gully - North
159,Kew,Kew - South
160,Oakleigh South,Clarinda - Oakleigh South
163,Richmond,Richmond (South) - Cremorne
165,Hawthorn,Hawthorn - North
166,St Albans,St Albans - North
169,Reservoir,Reservoir - South East
174,Tarneit,Tarneit - North
175,Northcote,Northcote - West
177,Reservoir,Reservoir - North West
180,Newborough,Moe - Newborough
181,Hastings,Hastings - Somers
193,Preston,Preston - West
195,Mont Albert,Surrey Hills (East) - Mont Albert
196,Rowville,Rowville - North
197,Sandringham,Sandringham - Black Rock
198,Ballarat East,Ballarat East - Warrenheip
199,Preston,Preston - East
202,East Bendigo,East Bendigo - Kennington
206,Endeavour Hills,Endeavour Hills - South
207,Rowville,Rowville - Central
213,White Hills,White Hills - Ascot
217,Kew,Kew - West
220,Point Lonsdale,Point Lonsdale - Queenscliff
224,Clifton Hill,Clifton Hill - Alphington
225,Scoresby,Knoxfield - Scoresby
228,Redan,Sebastopol - Redan
231,Huntly,Ormond - Glen Huntly
235,Glen Waverley,Glen Waverley - East
236,Diamond Creek,Wattle Glen - Diamond Creek
242,Clayton,Clayton South
249,Warrnambool,Warrnambool - North
262,South Geelong,Geelong
265,Knoxfield,Knoxfield - Scoresby
268,Footscray,West Footscray - Tottenham
272,Chelsea,Chelsea Heights
281,Tarneit,Tarneit - Central
289,Truganina,Truganina - North
290,Armstrong Creek,Barwon Heads - Armstrong Creek
300,Pakenham,Pakenham - North West
303,Aspendale Gardens,Aspendale Gardens - Waterways
304,Narre Warren South,Narre Warren South - West
306,Ringwood,Ringwood North
307,Golden Square,Kangaroo Flat - Golden Square
308,Point Cook,Point Cook - South
310,Frankston,Frankston North
312,Roxburgh Park,Roxburgh Park - North
313,Hamilton,Hamilton (Vic.)
320,Emerald,Emerald - Cockatoo
322,Greenvale,Greenvale - Bulla
324,Fraser Rise,Fraser Rise - Plumpton
328,Mickleham,Mickleham - Yuroke
329,Doreen,Doreen - North
333,Hampton Park,Hampton Park - West
335,Pakenham,Pakenham - South West
338,Eynesbury,Eynesbury - Exford
340,Cobblebank,Cobblebank - Strathtulloh
342,Point Cook,Point Cook - North West
353,Heatherton,Moorabbin - Heatherton
355,Ballarat Central,Ballarat
357,Hawthorn,Hawthorn - South
363,Geelong West,Geelong West - Hamlyn Heights
377,Donvale,Donvale - Park Orchards
380,Melbourne,Melbourne CBD - West
387,Notting Hill,Clayton (North) - Notting Hill
390,Southbank,Southbank (West) - South Wharf
395,Ballarat North,Ballarat North - Invermay
402,Melbourne,Melbourne CBD - North
403,Coburg,Coburg - East
407,Melbourne,South Melbourne
414,Port Melbourne,Port Melbourne Industrial
428,Berwick,Berwick - South East
440,Mernda,Mernda - North
458,Flemington,Flemington Racecourse
470,Ashburton,Ashburton (Vic.)
477,Rosebud,Rosebud - McCrae
490,Ormond,Ormond - Glen Huntly
495,Narre Warren,Narre Warren - North East
496,Aberfeldie,Essendon (West) - Aberfeldie
497,South Morang,South Morang - South
510,Kensington,Kensington (Vic.)
514,Carlton,Carlton North - Princes Hill
518,Gladstone Park,Gladstone Park - Westmeadows
519,Hampton Park,Hampton Park - East
530,Yarra Glen,Healesville - Yarra Glen
531,Bentleigh East,Bentleigh East - South
582,Lalor,Lalor - West
583,Drouin East,Drouin
585,Lilydale,Lilydale - Coldstream
600,Nhill,Nhill Region
631,Narre Warren South,Narre Warren South - East
638,Westmeadows,Gladstone Park - Westmeadows
664,Chelsea,Chelsea - Bonbeach
713,Omeo,Bruthen - Omeo
717,Kennington,East Bendigo - Kennington
723,North Geelong,North Geelong - Bell Park
727,Kurunjang,Kurunjang - Toolern Vale
732,Doncaster East,Doncaster East - North
740,Park Orchards,Donvale - Park Orchards
742,Essendon,Niddrie - Essendon West
744,Hawthorn,Hawthorn East
757,Hampton East,Hampton
759,Epping,Epping - South
819,Parkdale,Mordialloc - Parkdale
837,Eaglehawk,California Gully - Eaglehawk
898,Clunes,Creswick - Clunes
925,Berwick,Berwick - North
927,Truganina,Truganina - South East
933,Mill Park,Mill Park - South
1012,Melbourne,West Melbourne - Residential
1033,Ashwood,Ashwood - Chadstone
1094,Lorne,Lorne - Anglesea
1095,Warrnambool,Warrnambool - South
1101,Keysborough,Keysborough - South
1125,Carlton North,Carlton North - Princes Hill
1155,Ascot,White Hills - Ascot
1162,Cheltenham,Highett (West) - Cheltenham
1176,Kings Park,Kings Park (Vic.)
1283,Seddon,Seddon - Kingsville
1300,New Gisborne,Gisborne
1305,Mernda,Mernda - South
1313,Olinda,Mount Dandenong - Olinda
1332,Sandhurst,Skye - Sandhurst
1347,Skye,Skye - Sandhurst
1392,Huntingdale,Oakleigh - Huntingdale
1403,Trafalgar,Trafalgar (Vic.)
1418,Baranduda,Baranduda - Leneva
1420,Belgrave,Belgrave - Selby
1442,Beaconsfield,Beaconsfield - Officer
1497,Miners Rest,Wendouree - Miners Rest
1514,Watsonia North,Watsonia
1532,Coburg,Coburg - West
1539,Spring Gully,Flora Hill - Spring Gully
1557,Templestowe,Templestowe Lower
1731,Pakenham,Pakenham - South East
1759,Epping,Epping - East
1777,Mansfield,Mansfield (Vic.)
1793,California Gully,California Gully - Eaglehawk
1855,Carrum,Carrum - Patterson Lakes
1876,Castlemaine,Castlemaine Surrounds
1885,Ardeer,Ardeer - Albion
