,suburb,sa2
0,Strathdale,East Bendigo - Kennington
1,Rye,Point Nepean
2,Ouyen,Mildura Surrounds
3,Golden Point,Canadian - Mount Clear
4,Peterborough,Moyne - East
5,Macleod,Kingsbury
6,Kaniva,Nhill Region
7,Lucas,Moe - Newborough
8,Yarra Junction,Yarra Valley
9,Campbells Creek,Castlemaine
10,St Kilda West,St Kilda - West
11,Heidelberg Heights,Heidelberg West
12,Merricks Beach,Flinders
13,Kalkallo,Mickleham - Yuroke
14,Darley,Bacchus Marsh
16,St Albans Park,Newcomb - Moolap
17,Aintree,Rockbank - Mount Cottrell
18,Port Fairy,Moyne - West
20,Bonnie Doon,Mansfield (Vic.)
21,Black Hill,Ballarat North - Invermay
22,Lake Wendouree,Ballarat
23,Herne Hill,Geelong West - Hamlyn Heights
24,Manifold Heights,Geelong West - Hamlyn Heights
25,Caulfield North,Caulfield - North
26,Balaclava,St Kilda East
27,Gardenvale,Elsternwick
28,Glenburn,Yea
29,Safety Beach,Dromana
30,Middle Park,Albert Park
33,Germantown,Bright - Mount Beauty
35,Tootgarook,Point Nepean
36,Marlo,Orbost
37,Baxter,Somerville
39,Sassafras,Mount Dandenong - Olinda
41,Spotswood,Newport
42,Portsea,Point Nepean
45,Keilor Lodge,Taylors Lakes
47,Mont Albert North,Box Hill North
50,Bell Post Hill,North Geelong - Bell Park
51,Caulfield South,Caulfield - South
52,Sorrento,Point Nepean
54,Macleod,Viewbank - Yallambie
56,Harkness,Melton West
58,Hopetoun,Yarriambiack
60,Poowong,Korumburra
61,Deepdene,Balwyn
62,Indented Head,Portarlington
63,Golden Beach,Longford - Loch Sport
64,Jacana,Broadmeadows
65,St Leonards,Portarlington
66,Deanside,Avoca
67,Timboon,Corangamite - South
69,Donnybrook,Whittlesea
70,Harcourt,Castlemaine Surrounds
71,Deanside,Rockbank - Mount Cottrell
73,Thornhill Park,Rockbank - Mount Cottrell
74,Eagle Point,Paynesville
76,Fyansford,Geelong West - Hamlyn Heights
78,Nar Nar Goon,Bunyip - Garfield
81,Rochford,Romsey
82,Kalkallo,Braybrook
85,Beveridge,Wallan
86,Rippleside,North Geelong - Bell Park
87,Quarry Hill,Flora Hill - Spring Gully
91,Melbourne,South Yarra - West
93,Melbourne,Carlton
94,Melbourne,Albert Park
97,Travancore,Flemington
99,Essendon North,Essendon (West) - Aberfeldie
101,Long Gully,Bendigo
105,Kooyong,Malvern - Glen Iris
106,Millgrove,Yarra Valley
108,Werribee South,Werribee - South
109,Cardinia,Koo Wee Rup
112,The Patch,Mount Dandenong - Olinda
115,Melbourne,St Kilda - West
119,Hesket,Romsey
122,Heathmont,Ringwood East
126,Cape Woolamai,Phillip Island
129,Wandana Heights,Highton
130,Kilcunda,Wonthaggi - Inverloch
131,Maidstone,Braybrook
132,Deanside,Fraser Rise - Plumpton
133,Oakleigh East,Oakleigh - Huntingdale
135,Dallas,Campbellfield - Coolaroo
139,Epsom,White Hills - Ascot
153,Enfield,Golden Plains - North
154,Edenhope,West Wimmera
158,Melbourne,Royal Botanic Gardens Victoria
160,Marshall,Charlemont
168,Mambourin,Werribee - West
169,Maddingley,Bacchus Marsh
180,Lucas,Alfredton
181,Skenes Creek,Otway
184,Whittington,Newcomb - Moolap
186,Leslie Manor,Corangamite - North
192,Neerim,Mount Baw Baw Region
196,Barongarook,Colac Surrounds
199,Wahgunyah,Rutherglen
203,Lucas,St Albans - North
204,Nar Nar Goon North,Bunyip - Garfield
208,Lucas,Avoca
210,Apollo Bay,Otway
215,North Wonthaggi,Wonthaggi - Inverloch
216,Underbool,Mildura Surrounds
219,Ripponlea,St Kilda East
226,Deans Marsh,Winchelsea
227,San Remo,Wonthaggi - Inverloch
228,Neerim South,Mount Baw Baw Region
231,Dalyston,Wonthaggi - Inverloch
241,Cape Paterson,Wonthaggi - Inverloch
247,Glenaroua,Seymour Surrounds
250,Thomson,Geelong
254,Gembrook,Emerald - Cockatoo
257,Bass,Wonthaggi - Inverloch
260,Shepparton North,Shepparton - North
262,Caulfield East,Caulfield - North
263,Longlea,Bendigo Surrounds - North
264,Gherang,Winchelsea
270,Killawarra,Wangaratta Surrounds
271,Elliminyt,Colac
275,Lucknow,Bairnsdale
276,Thornhill Park,Kyabram
285,Waurn Ponds,Grovedale - Mount Duneed
286,Drysdale,Clifton Springs
291,Callignee,Churchill
294,Ferny Creek,Mount Dandenong - Olinda
295,Gruyere,Wandin - Seville
301,Kalkallo,Avoca
308,Shoreham,Flinders
313,Aireys Inlet,Lorne - Anglesea
314,Thornhill Park,Avoca
327,Lake Bunga,Lakes Entrance
330,Prahran East,Prahran - Windsor
332,Cambrian Hill,Smythes Creek
333,McKenzie Hill,Castlemaine
334,Marong,Bendigo Surrounds - South
337,Raymond Island,Paynesville
344,Capel Sound,Rosebud - McCrae
347,Paradise Beach,Longford - Loch Sport
348,Ecklin South,Corangamite - South
350,Lang Lang,Koo Wee Rup
355,Hepburn Springs,Daylesford
361,Koonwarra,Leongatha
363,Lake Gardens,Ballarat
364,Eastwood,Bairnsdale
366,Tawonga South,Bright - Mount Beauty
376,Penshurst,Southern Grampians
379,North Shore,Norlane
385,Soldiers Hill,Ballarat North - Invermay
387,Lancefield,Romsey
390,Kealba,Keilor Downs
391,Kallista,Mount Dandenong - Olinda
396,Eumemmerring,Doveton
404,Ironbark,Bendigo
405,Cobden,Corangamite - South
407,South Kingsville,Newport
410,Porepunkah,Bright - Mount Beauty
414,Smythesdale,Golden Plains - North
416,Wheatsheaf,Daylesford
422,Robertsons Beach,Yarram
426,Killara,Wandin - Seville
441,Gorae West,Glenelg (Vic.)
457,Freshwater Creek,Winchelsea
459,Merriang South,Myrtleford
462,Venus Bay,Foster
464,Longwarry,Drouin
469,Seaholme,Altona
476,Kilsyth South,Bayswater North
477,Tatura,Shepparton Surrounds - West
489,Upper Plenty,Wallan
492,Forrest,Otway
495,Red Hill South,Flinders
503,Aintree,Greensborough
506,Bittern,Hastings - Somers
513,Kirwans Bridge,Nagambie
519,Hazelwood North,Churchill
526,Kalkallo,Yarram
530,Dunkeld,Southern Grampians
535,Kalkallo,Southern Grampians
543,Tallygaroopna,Shepparton Surrounds - East
548,Yarragon,Trafalgar (Vic.)
551,Harrietville,Bright - Mount Beauty
555,Trafalgar East,Trafalgar (Vic.)
560,Junction Village,Cranbourne South
563,Seaspray,Longford - Loch Sport
603,Tongala,Kyabram
626,Lockwood,Bendigo Surrounds - South
627,Jan Juc,Torquay
628,Kalkallo,Highett (East) - Cheltenham
629,Heyfield,Maffra
641,Parwan,Bacchus Marsh Surrounds
652,Kalimna,Lakes Entrance
655,Birregurra,Colac Surrounds
671,Reedy Creek,Kilmore - Broadford
680,Eskdale,Towong
683,Dennington,Warrnambool - North
688,Scarsdale,Golden Plains - North
689,Eganstown,Daylesford
690,Cardross,Red Cliffs
695,Newington,Ballarat
705,Nichols Point,Irymple
730,Bakery Hill,Ballarat
735,Yinnar,Churchill
741,Metung,Lakes Entrance
742,Toongabbie,Yallourn North - Glengarry
743,Dookie,Shepparton Surrounds - East
744,Katunga,Numurkah
746,Carisbrook,Maryborough Surrounds
750,St Andrews Beach,Point Nepean
753,Oxley,Wangaratta Surrounds
