suburb,count
Melbourne,849
Southbank,351
South Yarra,219
Tarneit,183
Docklands,172
Carlton,149
Truganina,146
St Kilda,144
Richmond,137
Footscray,122
Werribee,112
Point Cook,109
West Melbourne,90
Prahran,88
Clyde North,81
South Melbourne,80
North Melbourne,79
Frankston,70
Berwick,68
Clayton,66
Malvern East,66
Reservoir,65
Hawthorn East,64
Hawthorn,63
Manor Lakes,62
St Kilda East,62
Caulfield North,61
Preston,61
Doncaster,61
Elwood,60
Armstrong Creek,60
Glen Waverley,59
Kew,59
Shepparton,58
Carnegie,57
Hoppers Crossing,57
Bendigo,54
Mildura,54
Donnybrook,53
Port Melbourne,51
Coburg,51
Pakenham,50
Toorak,49
Essendon,49
Abbotsford,47
Dandenong,46
Yarraville,45
Melton South,45
Rockbank,44
Highton,44
Doncaster East,44
Glen Iris,42
Clyde,41
Mickleham,41
Kensington,41
Wendouree,40
Officer,39
Deanside,39
Camberwell,39
Armadale,39
Thornbury,39
Weir Views,38
Northcote,38
Alfredton,38
Thornhill Park,37
Kalkallo,36
Epping,36
Rye,36
Geelong,35
Noble Park,35
Maribyrnong,35
East Melbourne,35
Fraser Rise,35
Glenroy,34
Cheltenham,34
Balwyn North,33
Sebastopol,33
Wallan,32
Ringwood,31
Parkville,31
Traralgon,31
Mernda,31
Ivanhoe,31
Ferntree Gully,30
Belmont,30
Grovedale,30
Flemington,29
Mount Waverley,29
Seaford,29
Bentleigh East,29
Fitzroy North,29
Lara,29
Mill Park,29
Elsternwick,29
Rosebud,28
Ascot Vale,28
Charlemont,28
Springvale,27
Beveridge,27
St Albans,27
Mambourin,27
Bentleigh,26
Fitzroy,25
Thomastown,25
Altona North,24
Malvern,24
Balwyn,24
Balaclava,24
Ormond,24
Bacchus Marsh,23
Norlane,23
Ocean Grove,23
Gisborne,23
Lalor,23
West Footscray,23
Doreen,23
Hampton Park,23
Clayton South,23
Altona,22
Narre Warren,22
Caroline Springs,21
Pascoe Vale,21
Geelong West,21
Newtown,21
Nunawading,21
Mentone,20
Eynesbury,20
Altona Meadows,20
Dandenong North,20
Keysborough,20
Carlton North,19
Ballarat Central,19
Carrum Downs,19
Hampton,19
Laverton,19
Vermont South,19
Lucas,19
Avondale Heights,18
Albert Park,18
Essendon North,18
Keilor East,18
Narre Warren South,18
Warrnambool,18
Caulfield South,18
Melton,18
Kurunjang,17
Warragul,17
Kennington,17
Albion,17
Echuca,17
Horsham,17
Torquay,17
Aintree,17
Wantirna South,16
Newcomb,16
South Morang,16
Huntly,16
Endeavour Hills,16
Ballarat East,16
Melton West,16
Highett,16
Newport,16
Redan,15
Diggers Rest,15
Bell Park,15
Deer Park,15
Airport West,15
Ringwood East,15
Alphington,15
Templestowe,15
Harkness,15
Meadow Heights,15
Heidelberg Heights,14
Wheelers Hill,14
Portland,14
Heidelberg,14
Hughesdale,14
East Geelong,14
Tullamarine,14
Travancore,14
Kangaroo Flat,14
Fawkner,13
Werribee South,13
Golden Square,13
Oakleigh South,13
Greenvale,13
Canterbury,13
Bairnsdale,13
Wangaratta,13
Lakes Entrance,13
Frankston South,13
Cobram,12
Greensborough,12
Ashburton,12
Rowville,12
Mont Albert,12
Maidstone,12
Hastings,12
Langwarrin,12
Flora Hill,12
Soldiers Hill,12
Maryborough,12
Kialla,12
Caulfield,11
Herne Hill,11
Daylesford,11
Clifton Hill,11
Beaumaris,11
Canadian,11
Doveton,11
Eltham,11
Patterson Lakes,11
Ararat,11
Glen Huntly,11
Hamlyn Heights,11
Kilsyth,11
Fairfield,11
Chadstone,11
Templestowe Lower,11
Frankston North,11
Wantirna,11
Tootgarook,10
Sale,10
Macleod,10
Seddon,10
Benalla,10
Cobblebank,10
Quarry Hill,10
Sorrento,10
