SA2_Name,count
Melbourne CBD - North,305
Melbourne CBD - West,268
Southbank - East,242
Docklands,172
Melbourne CBD - East,159
Carlton,145
Clyde North - South,122
Footscray,120
South Yarra - North,117
Werribee - East,112
Southbank (West) - South Wharf,109
Rockbank - Mount Cottrell,102
St Kilda - Central,100
Tarneit - North,100
West Melbourne - Residential,96
Richmond - North,96
St Kilda East,91
Prahran - Windsor,89
Truganina - North,87
South Melbourne,87
Albert Park,85
Melton South - Weir Views,83
North Melbourne,79
Hawthorn East,74
St Kilda - West,71
Caulfield - North,69
Barwon Heads - Armstrong Creek,68
Bendigo,68
Mickleham - Yuroke,67
Malvern East,66
Point Nepean,64
South Yarra - South,63
Manor Lakes - Quandong,62
Frankston,62
Wallan,61
Elwood,60
Geelong,59
Whittlesea,58
Malvern - Glen Iris,58
Doncaster,57
Carnegie,57
Shepparton - North,56
South Yarra - West,54
Geelong West - Hamlyn Heights,54
Alfredton,53
Fraser Rise - Plumpton,52
Ormond - Glen Huntly,51
Toorak,49
Clayton - Central,49
Sebastopol - Redan,48
Highton,48
Abbotsford,47
Port Melbourne,47
Yarraville,45
Dandenong - North,45
Beaconsfield - Officer,43
Hoppers Crossing - South,43
Truganina - South West,42
Tarneit - Central,42
Tarneit - South,41
Richmond (South) - Cremorne,41
Rosebud - McCrae,41
Point Cook - South,41
Wendouree - Miners Rest,41
Kensington (Vic.),41
Mildura - North,41
Essendon (West) - Aberfeldie,39
Thornbury,39
Armadale,39
Camberwell,39
Bacchus Marsh,39
Coburg - East,37
Grovedale - Mount Duneed,37
North Geelong - Bell Park,36
East Melbourne,35
Maribyrnong,35
Balwyn North,34
Highett (East) - Cheltenham,34
Charlemont,33
Essendon - East,33
Flemington,33
Glen Waverley - West,33
Point Cook - East,32
Hawthorn - North,32
Preston - East,32
Newcomb - Moolap,31
Kew - West,31
Parkville,31
Melton West,31
Traralgon - West,31
Ivanhoe,31
Elsternwick,30
Doncaster East - South,30
Preston - West,30
Belmont,30
Northcote - West,30
Lara,29
Ballarat,29
Hampton,29
Seaford (Vic.),29
Newport,29
Fitzroy North,29
Ascot Vale,28
Bentleigh - McKinnon,28
Carlton North - Princes Hill,28
Caulfield - South,27
Kangaroo Flat - Golden Square,27
Kew - South,27
Balwyn,27
Werribee - West,27
Berwick - South East,27
East Bendigo - Kennington,27
Springvale,27
Norlane,26
Glen Waverley - East,26
Alphington - Fairfield,26
West Footscray - Tottenham,25
Fitzroy,25
Flora Hill - Spring Gully,25
Thomastown,25
Ballarat North - Invermay,25
Altona North,24
Gisborne,24
Reservoir - North East,24
Clayton South,24
Ringwood,24
Altona,23
Epping (Vic.) - West,23
Avoca,23
Clayton (North) - Notting Hill,23
